_key,username,location,postcount,likes,post,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
10,学习之星黄迪晨,,,,[],,,,,,,,,,,
11,metabeing,,3,6,"['还', '是', '复制粘贴', '还有', '反馈', '添加', '表情', '也', '不', '太', '方便']",,,,,,,,,,,
12,excalibur,,,,[],,,,,,,,,,,
13,Gllaucus,,,,[],,,,,,,,,,,
14,jflam,,,,[],,,,,,,,,,,
15,有事说话,,1,2,"['出来', '玩']",,,,,,,,,,,
16,Nathan,,,,[],,,,,,,,,,,
17,guluglu,,,,[],,,,,,,,,,,
18,蓝红水,,,,[],,,,,,,,,,,
19,Weeknd,,,,[],,,,,,,,,,,
20,Alicia,,,,[],,,,,,,,,,,
21,Afirmiana,,1,2,"['听说', '调戏', '管理员', '会', '发', '女装', '照片', '好', '起来']",,,,,,,,,,,
22,Shirley,,,,[],,,,,,,,,,,
23,盐焗土豆_,,2,4,['不会'],,,,,,,,,,,
24,shrimp,,1,2,"['时光', '机', '留给', '回忆', '带路']",,,,,,,,,,,
25,前锦似海,,1,2,"['感觉', '都', '是', '人', '有', '同感']",,,,,,,,,,,
26,Jojo姐,,,,[],,,,,,,,,,,
27,panlis,,,,[],,,,,,,,,,,
28,6F9,"Bilbao, España",5430,4268224551293,"['同样', '是', '跟随', '兄弟', '将', '想要', '标志', '不', '知道', '仍然', '太多推特', '杀死', '想', '我会', '做', '脱离', '关注', '保持', '人']",,,,,,,,,,,
29,830,,2,0,"['是', '爱']",,,,,,,,,,,
30,A4A,,11,14,"['帐户', '可能', '会', '冻结', '我会', '卖', '机会', '没有', '注册', '电话号码', '似乎', '电子', '烟', '伤害', '视频', '太', '吸烟', '怪物', '能量', '批量', '想要', '瓶', '咖啡馆', '瘾', '不能', '睡觉', '起床', '限制', '体育', '教育', '小', '很', '有趣', '万维网', '是', '不', '觉得', '抱歉', '缺少', '猫', '请', '注意']",,,,,,,,,,,
31,1a0,Brisbane,2977,16974,"['托', '博士', '祈祷', '将', '继续', '寻求', '联系', '需要', '发送', '留言', '计划', '组合', '家人', '也', '上帝', '做', '工作', '亲爱', '允许', '想', '进行', '对话', '交换', '联系人', '很', '乐意', '取得联系', '请', '无法', '想象', '是', '选项', '父亲', '军队', '融入', '住', '看到', '发生', '事情', '基督徒', '做好事', '谈谈', '私下', '回答', '告诉', '穿着', '女人', '衣服', '会', '杀', '刚刚', '证明', '观点', '误导', '不', '说', '询问', '审查', '重读', '没有', '挂', '政治', '露台', '就', '参加', '选举', '开玩笑', '阻止', '访问', '个人资料', '司法', '秩序', '有', '管辖权', '真相', '业主', '决定', '能读']",,,,,,,,,,,
32,bdf,"California, USA",2875,7956,"['生活', '是', '很棒', '新闻', '祝', '惊人', '恭喜', '爱', '指导', '所有人', '更好', '地方', '能量', '都', '生根', '忽略', '批评者', '杰作', '电影', '铸件', '完美', '故事', '触摸', '不可', '预测', '让', '勇气', '纬度', '需要', '制作', '猜猜', '庆祝', '明亮', '反对', '审查', '很漂亮']",,,,,,,,,,,
33,e36,,2,1,"['粗体', '测试', '布防']",,,,,,,,,,,
34,7FE,,4318,1560,"['恭喜', '宣布', '攀登', '服务', '条目', '重点', '新闻', '部门', '有助于', '性别', '平等', '教会', '当局', '没有', '找到', '支持', '移民', '对话', '已知', '双方', '了解', '联邦', '资源', '将', '国家', '摩尔', '人', '出来', '不可', '性角', '道歉', '有利于', '妇女', '生活', '伟大', '协议', '不同', '组织', '提议']",,,,,,,,,,,
35,5aa,,2,0,"['没有', '做']",,,,,,,,,,,
36,F0B,,108,19,"['说', '不再', '是', '电视', '评级', '播出', '没有', '人', '关心', '新', '女孩', '自由', '泻湖', '拥有', '泳池', '派对', '对', '抗', '言论', '作出反应', '准备', '好了吗', '加冕', '宇宙', '恭喜']",,,,,,,,,,,
37,da6,,1333,1,"['伤害', '宁愿', '去', '做', '好', '不', '可能', '诙谐', '无法', '查看', '推文', '帐户', '限制', '刚刚', '安装', '找', '不到', '上将', '连接', '到', '方法', '能', '帮', '有', '菜鸟', '问题', '很快', '就', '会', '直观', '列表', '几乎', '是', '默认', '数字', '提取物', '放置', '需要', '发送', '不能']",,,,,,,,,,,
38,134,,1,0,[],,,,,,,,,,,
39,894,osaka,11768,40082,"['博物馆', '牛排', '也', '是', '捣乱', '克服', '出来', '儿子', '漂亮', '应该', '等待', '圣诞老人', '带', '破折号', '选择', '电动', '自行车', '困扰', '只', '尝试', '单位', '很', '惊讶', '松下', '移动', '方式', '英寸', '胆量', '没有', '放置', '地方', '尚未', '能够', '来到', '耐心', '燃烧', '丈夫', '天使', '说', '儿童', '看护', '提高', '看前', '有', '长', '活动', '美味', '炸丸子', '鸡', '仍然', '感激', '看到', '买', '专辑', '马铃薯', '探险队', '可爱', '喜欢', '不能', '推出', '出生', '重量', '攻击', '储存', '门廊', '看不到', '先生', '想', '再次', '见到', '衣堂', '米饭', '嫉妒', '睡眠', '监测', '非常', '好', '担心', '是否', '计划', '回复']",,,,,,,,,,,
40,223,,1,4518,"['大', '欺骗']",,,,,,,,,,,
41,130,,1115,2311,"['抬头', '抬起', '梦想', '要', '摆脱', '堂宁', '会', '看到', '我会', '牙龈', '醒来', '去', '无限', '循环', '到', '也', '是', '梦', '生', '没有', '原油', '都', '住在一起', '睡觉', '乐趣', '太', '妈妈', '做到', '生物', '创造性', '开始', '时', '应该', '人', '无法', '睡', '很', '好', '琐事', '平静', '舌头', '感到', '兴奋', '想', '时候', '牧场']",,,,,,,,,,,
42,049,,38,2,"['紧急', '利用', '武器', '反对', '和平', '抗议者', '赤手', '证明', '是', '非常', '糟糕', '政府', '欺负', '人民', '采取', '最', '射击', '会', '听到', '土地', '声音', '强盗', '出去', '劫匪', '不再', '接受', '不必', '生病', '惩罚', '给予', '国家', '发展', '保护', '没有', '创造', '利益', '赦免', '很快', '地球', '说', '已经', '达到', '佩戴', '民主', '羊毛', '狐狸', '足够', '大赦', '小偷', '规则', '不', '值得', '要求', '出来', '人', '阻止', '法律', '需求', '表明', '派遣', '军警', '检查', '体育场', '纯洁', '看看', '有', '正义', '形式', '敌人', '制作', '标准', '农场', '做', '耳朵', '到', '眼睛', '闭合']",,,,,,,,,,,
43,6dd,"Colorado, USA",1,0,['活着'],,,,,,,,,,,
44,AB3,,2,0,"['帮助', '关注']",,,,,,,,,,,
45,b64,,98,52,"['文章', '是', '也', '摇头', '没有', '费力', '比较', '流感', '受伤', '声称', '考虑', '误导性', '告诉', '老化', '朋友', '不', '想要', '听到', '设想', '尝试', '找到', '标有', '同样', '扁平', '地球', '推文', '奇怪', '错', '做', '刺戳', '弥补', '了让', '人们', '事实', '更', '无用', '锁定', '来临', '到', '基因治疗', '人', '传播', '导致', '生病', '病毒', '死亡', '看起来', '可能', '考虑一下', '单词', '政府', '有助于', '澄清', '事物', '舒适', '饮料', '双人床', '刚刚', '员工', '免费', '优惠券', '意味着', '买', '实际上', '自由', '仍然', '修复', '代码', '状态', '消息', '常规', '履行', '错误', '无法', '再次', '工作', '继续', '获得', '普通']",,,,,,,,,,,
46,2fa,Wolfsburg,800,5289,"['提示', '已经', '提供', '几乎', '没有', '去', '回来', '黑色', '吐司', '有', '怜悯', '至少', '会', '做', '就', '像', '季节', '到', '想', '看看', '非常', '酷', '请', '快速', '腿']",,,,,,,,,,,
47,f2e,,1,0,['归'],,,,,,,,,,,
48,560,,1,0,"['真', '可爱']",,,,,,,,,,,
49,577,,1,0,"['好', '上帝']",,,,,,,,,,,
50,1bc,Palm Beach,367,12597,"['儿童', '秒钟', '内', '注意', '手', '信号', '应该', '困境', '收获', '躲', '树', '扔到', '兄弟', '又名', '电影', '坏人', '是', '真的', '仍然', '重新', '编程', '芯片', '说', '语言', '已知', '写作', '检查', '可能', '会', '更快', '完成', '松果', '有没有', '留在', '真实', '变得', '碎纸机', '越难', '狂欢', '火星', '跋涉']",,,,,,,,,,,
51,cbd,,413,675,"['哀悼', '鸽子', '也', '翅膀', '发出', '噪音', '没有', '只', '鸟', '想', '见证', '将', '找到', '是', '可爱', '谷歌', '看起来', '有', '种类', '指', '美国版', '肉桂', '牛奶', '惊讶', '激励', '听', '人', '论点', '思绪', '改变', '不能', '成为', '争论', '发现', '倒下', '来回', '参数', '最', '适合', '替补', '工具', '明显', '合作', '看到', '神经', '潜水', '潮', '显示', '影响力', '工作', '请', '用于', '方法', '认为', '抗体', '应该', '持续', '听到', '就', '像', '有效', '获得', '绝对', '狗', '帐篷']",,,,,,,,,,,
52,3ac,,21,6,"['检查', '能', '告诉', '说话', '有', '机会', '联系', '知道', '地方', '发', '让', '检查一下', '给我发', '消息', '打']",,,,,,,,,,,
53,6da,廣州Canton,2095,2060,"['也', '挺', '可惜', '概股', '腰斩', '传说', '公鸡', '是', '省钱', '长远', '身体', '差', '存在', '说', '优惠', '规则', '变改', '恭喜', '想起', '死亡', '终站', '伟哥', '相随', '就', '有点', '想', '笑', '前段时间']",,,,,,,,,,,
54,A5C,,11,0,"['讨厌', '不', '达到', '很', '留下', '新', '推文', '看电视', '学校', '开始', '甜蜜', '生活', '好', '猜', '坐在', '房间', '将', '从上', '获取', '等不及', '更好', '手机', '终于', '久', '得到', '时', '我会', '兄弟', '男人', '基督徒', '必须', '受苦', '也', '不能', '告诉', '秘密', '有', '人', '神经', '没有', '听到', '谈', '电话', '仍然', '生病']",,,,,,,,,,,
55,710,,3,0,"['推荐', '大家', '免费', '获得', '正版书', '骗人', '是', '想', '做', '做到', '激情']",,,,,,,,,,,
56,e2d,San Francisco,86,6,"['钉', '可悲', '是', '击中', '角膜', '激光', '火灾', '将', '导致', '永久', '失明', '请', '保存', '快乐', '生产', '更', '季节', '来', '制作', '原创', '签署', '请愿书', '喊出', '推', '特上', '爱', '头骨', '蛇', '代理', '铁杆', '自主', '促销', '海报', '最新', '帖子', '帆船', '旅行', '到', '让', '拼', '硬', '冷却器', '忍者', '战士', '也', '没有', '夹克', '原因', '围起来', '佩戴', '西装', '才能', '幻灯片', '发布', '新', '工作', '强调', '试图', '看到', '乐队', '飞机', '视频']",,,,,,,,,,,
57,248,,3,0,"['喜欢', '不能', '视频', '说', '仍然', '无法', '区分', '再见', '欢迎', '来到']",,,,,,,,,,,
58,A20,,2,0,['饱和'],,,,,,,,,,,
59,bd7,,3,0,"['上瘾', '到', '饮酒', '必须', '是', '瘾', '没有', '最', '重要', '人', '就是', '挑战', '时间', '给予', '优势']",,,,,,,,,,,
60,38b,,1,0,"['选择', '玻璃', '是', '泡沫', '最好', '草', '放置', '最', '挤压', '推文', '彩票', '挤', '例到', '人']",,,,,,,,,,,
61,2b5,,2,0,['报名'],,,,,,,,,,,
62,E17,,1,0,"['没有', '做', '太']",,,,,,,,,,,
63,2ca,,161,7,"['线', '延迟', '是', '头发', '切断', '好', '坏', '应该', '离开', '铁王', '太弱', '可爱', '先生', '很', '想', '成为', '不', '使用', '优惠券', '成年人']",,,,,,,,,,,
64,631,,12,0,"['使用', '公司', '工作', '高', '达', '开始', '赚', '小时', '需要', '钱', '非常', '建议', '赚钱', '犹豫']",,,,,,,,,,,
65,1f0,,4,0,['爸爸'],,,,,,,,,,,
66,d43,,2213,1055,"['想', '咬', '阴唇', '我会', '热情', '遵守', '依偎', '不会', '阻止', '长期', '列表', '约会', '人', '非常', '想到', '没有', '考虑', '决定', '胜利', '举动', '是', '不', '玩', '承认', '猫', '希望', '等到', '情绪', '投入', '更', '浮躁', '更加', '重力', '时候', '成为', '庇护', '花', '百合', '白色', '精致', '技术人员', '手', '做', '起', '婴儿', '愈', '伤', '组织', '金星', '耐心', '代码', '差异', '橡皮', '旅行', '计划']",,,,,,,,,,,
67,17C,大阪,6533,684,"['是', '时候', '厌倦', '非常', '忙碌', '汤', '眼球', '已经', '死', '很', '像', '开心', '公司', '就是', '迷失', '筑', '科', '社会主义', '谈到', '人类', '取消资格', '线路', '注册', '睡', '脸', '可爱', '钓鱼', '衣裤', '告诉', '经常', '完成', '通常', '美味', '应该', '早起', '到达', '时间', '也', '会', '变化']",,,,,,,,,,,
68,983,,1,0,['是'],,,,,,,,,,,
69,51A,London,141,426,"['失去', '交叉', '开放式', '政策', '解决方案', '尴尬', '推', '丢失', '投票', '集团', '取消', '关注', '没有', '听说', '测试', '花', '小时', '互联网', '虫', '洞', '凝视着', '教练', '正如', '谚语', '可能', '是', '卖', '房子', '购买', '艺术', '博物馆', '设计', '专业人士', '将', '订单', '充满', '房屋', '太酷', '棍子', '漂亮', '夹克', '先生', '会', '游戏', '模块化', '搁架', '墙', '证明', '最好', '投资', '形状', '移位', '器', '建筑物', '摘要']",,,,,,,,,,,
70,F0A,,4,0,"['和平', '上帝', '怜悯', '很', '最好', '希望', '看看', '消息']",,,,,,,,,,,
71,565,,2,0,"['工作', '踢', '屁股', '试图', '推特', '消息', '是否', '需要', '知道']",,,,,,,,,,,
72,b6d,Kuwait,139,35,"['是', '世界', '最好', '卫兵', '问题', '喷气机', '来自', '同事', '需要', '运气', '奖球', '奖']",,,,,,,,,,,
73,4a9,,2,0,"['赚', '访问', '留在', '赚钱', '工作', '小时', '查看']",,,,,,,,,,,
74,9db,,5,1,"['追逐', '社区', '给予', '慈善机构', '投票', '赠款', '价格', '分享', '火灾', '赠品', '都', '是', '赢得', '新', '机会', '推文', '推', '特']",,,,,,,,,,,
75,784,,4,0,"['是', '尝试', '再次', '致电', '帮助', '热线', '重要', '铭记', '早餐', '躺', '床上', '思考']",,,,,,,,,,,
76,435,,3,0,"['赛道', '是', '运动', '网站', '测试']",,,,,,,,,,,
77,8E0,Riyadh,286,15,"['工作', '机会', '小组', '寻找', '持牌', '律师', '团队', '内', '提交', '电子邮件', '冠军', '赢得', '很', '惊讶', '家庭', '都', '有', '必须', '做', '方向', '尊重', '现代性', '不', '好处', '做到', '资本', '扩张', '指纹', '是', '很好', '良好', '成就', '可能', '化妆', '中心', '宣布', '金色', '推动者', '需要', '填补', '希望', '应用', '邮寄', '函授', '上帝', '愿意', '创意', '赐福', '非常', '相似', '投资', '实现', '刺激', '手段', '获得', '生活', '质量', '将', '相关', '方面', '创造', '不同', '类型', '根', '解决方案', '包括', '新', '创作', '就业机会', '会议', '触摸', '发展', '繁荣', '渴望', '人', '存在', '场合', '同事', '合作伙伴', '有利于', '倾销', '庆祝', '分享', '政府', '社会', '快乐', '赐给', '上帝保佑', '一崽', '奔苏', '早', '设施', '收购', '提醒']",,,,,,,,,,,
78,4b3,heywood,194,33,"['真的', '喂养', '伙计', '不', '热', '停止', '家伙', '融化', '绝对', '传说', '是', '纯粹', '污秽', '看着', '强大', '来到', '男孩', '人', '吃', '哭', '猫', '简单', '力量', '很棒', '上']",,,,,,,,,,,
79,b86,,17,128,[],,,,,,,,,,,
80,a77,,4,0,"['希望', '起来', '很快', '就', '会', '小鸡', '照顾', '孩子', '想要', '自由', '按钮']",,,,,,,,,,,
81,B59,Schipluiden,361,6,"['无法', '阻止', '诉状', '也', '永远', '不会', '看到', '范围', '有', '新', '钢琴', '招待会', '充满', '饱满', '食堂', '醒目', '成员', '协会', '彩票', '时想', '拍摄', '帐户', '知道', '曾经', '管理', '想要', '接受', '请', '给出', '回复', '税务', '服务', '调用', '收到', '答案', '帮助', '没有', '声明', '联系', '手球', '是', '足球', '蜗牛']",,,,,,,,,,,
82,488,,1,0,['测试'],,,,,,,,,,,
83,024,,66,24,"['刚', '发布', '照片', '脱', '滴', '试验', '发送', '出租车', '进入', '会议室', '是', '错误', '神', '领导', '山', '荒诞', '钓鱼', '说法', '湿润', '水分', '供应']",,,,,,,,,,,
84,110,"الرياض, المملكة العربية السعودية",74,16,"['已经', '制作', '并给', '真主', '怜悯', '父亲', '会', '响应', '属于', '将', '返回', '上帝', '叔叔', '幻灯片', '要求', '津贴', '作为', '自助', '服务', '执法', '代码', '到达', '应用程序', '取消', '相同', '进行', '图标', '确认', '特别', '是', '洗', '解决方案', '参展商', '经验', '不', '认为', '像', '假', '证书', '博士学位', '监狱', '休息', '总统', '决议', '国家', '受到', '节目', '就', '全能', '分享', '贷款', '网站', '胜利', '牦牛', '很', '好', '健康', '幸福']",,,,,,,,,,,
85,Beb,,1,0,"['寻求', '收集', '帮助', '公司', '将', '关闭', '母亲', '不', '确定']",,,,,,,,,,,
86,60e,,1,0,['加入'],,,,,,,,,,,
87,60e,,1,0,['加入'],,,,,,,,,,,
88,371,,24,0,"['没', '赶上', '高铁', '还好', '还有', '统联', '回台', '想', '行驶', '时间', '就是', '载客', '最好', '同学', '航班', '小时', '安检', '候机', '预计', '抵达', '没车', '进', '就', '夜宿', '爆炸', '真是', '吓到', '内', '爆点', '买书', '康', '广场', '真的', '有', '吓', '到', '难怪', '景点', '都', '处处', '刚刚', '地铁', '发生', '暴炸', '还', '书局', '买', '书', '也', '会', '地铁站', '有够', '吓人', '爆炸声', '让', '感到', '反推', '逛逛', '唱片', '发觉', '原文书', '便宜', '勒', '几本书', '历经', '路程', '终于', '返回', '入住', '饭店', '坐', '躺', '市集', '购物', '继续', '未', '完成', '正', '坐在', '慢慢', '欣赏', '发呆', '搭乘', '无法', '辨别', '去', '长途', '靠', '火车', '延误', '稍', '做', '休息', '看不懂', '车厢', '差别', '幸好', '终究', '上车', '卧铺', '还算', '舒适', '难题', '知道', '站', '国铁', '搞', '神经', '紧张', '车站', '月台', '网路', '订票', '不用', '再', '换', '票', '找', '不到']",,,,,,,,,,,
89,CB2,"Chicago, IL",17459,3620,"['很', '遗憾', '听到', '乐意', '看待', '能', '订单', '信息', '市场', '抱歉', '没有', '发货', '请', '订单号', '进一步', '调查', '样本', '也', '经历', '样品', '延迟', '会', '答复', '将', '跟进', '团队', '建议', '客户', '仍然', '遇到', '错误', '现金', '上涨', '知道', '问题', '希望', '很快', '得到', '解决', '分享', '工作', '尽快', '耐心', '延误', '深表歉意', '供应链', '原材料', '织物', '甚至', '集装箱', '短缺', '造成']",,,,,,,,,,,
90,4E5,,2,0,[],,,,,,,,,,,
91,C9E,,3,0,"['火', '颜色', '有', '性行为']",,,,,,,,,,,
