_key,username,location,postcount,likes,post,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
10,学习之星黄迪晨,,,,[],,,,,,,,,,,
11,metabeing,,3,6,"['我还以为是复制粘贴过来的', ' :man-raising-hand:', '@admin ok 还有别的反馈 不能自己添加表情也不太方便']",,,,,,,,,,,
12,excalibur,,,,[],,,,,,,,,,,
13,Gllaucus,,,,[],,,,,,,,,,,
14,jflam,,,,[],,,,,,,,,,,
15,有事说话,,1,2,['出来玩？'],,,,,,,,,,,
16,Nathan,,,,[],,,,,,,,,,,
17,guluglu,,,,[],,,,,,,,,,,
18,蓝红水,,,,[],,,,,,,,,,,
19,Weeknd,,,,[],,,,,,,,,,,
20,Alicia,,,,[],,,,,,,,,,,
21,Afirmiana,,1,2,['听说调戏够七天后，管理员会发女装照片\n好起来了ψ(｀∇´)ψ'],,,,,,,,,,,
22,Shirley,,,,[],,,,,,,,,,,
23,盐焗土豆_,,2,4,"['啦啦啦', '我不会发图片']",,,,,,,,,,,
24,shrimp,,1,2,['时光机 留给你 回忆里 谁带路...'],,,,,,,,,,,
25,前锦似海,,1,2,['感觉深大里面都是一群非正常人，你们有同感吗'],,,,,,,,,,,
26,Jojo姐,,,,[],,,,,,,,,,,
27,panlis,,,,[],,,,,,,,,,,
28,6F9,"Bilbao, España",5430,4268224551293,"['@cxngui如果这给了我同样的是xk我跟随twitteras和buathy给了我一些兄弟', '@Farancencescaa23将按他们想要的', '@nidacovid @ vct1aa x标志而不知道xdd', '@o_elokii兄弟，但我仍然太多推特，这卷你不知道我想要杀死xd是什么', '@lxkxso x', '我想我会做一轮脱离关注，并保持300多人XD', '@ nahzz7 jaja.', '@Pauouakon？', '@clickbaitfps🥶🥶', '@brunofdezzz xdd', '@ solraca8 @trixefn x2']8eb",,,,,,,,,,,
29,830,,2,0,"['嘿，这是Cierra爱你', '@souljaboytellem.']",,,,,,,,,,,
30,A4A,,11,14,"['此帐户可能会被冻结，所以我会卖这个机会', '冻结所有没有注册电话号码的帐户', '@ Penpenzamura25似乎对电子烟没有伤害', 'OTA的视频太多了吸烟或吸烟', '怪物能量批量我想要→60瓶→咖啡馆瘾→我不能睡觉→我每天起床我每天起床12:00 1限制2限制体育教育小gg', '@ Penpenzamurai25很有趣', '万维网\nCO / RI5G8WNRC.', '早上好♥\n今天是№22岁的生日！', '@rrreol我不觉得我很抱歉', '缺少Xenia，哦，猫 - 请注意尼克松！CO / 9SF94OPF.', 'ME / 129JHOVT4']",,,,,,,,,,,
